해결사,거머리,초구 노림수,배트컨트롤,2s후커트율,2s후선구율,허수아비,전력질주,바빕신의 가호,당겨치기,밀어치기,물귀신,밥상 뒤엎기
전준우,최형우,페르난데스,페르난데스,페르난데스,강민호,김선빈,최지훈,홍창기,이정후,김선빈,허경민,강민호
양의지,김혜성,손아섭,마차도,허경민,마차도,이정후,서건창,강백호,노시환,박찬호,강민호,한동희
안치홍,안치홍,나성범,양의지,김현수,터커,한동희,손아섭,전준우,양석환,조용호,한동희,장성우
이정후,박성한,터커,허경민,최원준,이원석,추신수,,이정후,마차도,,김선빈,이대호
홍창기,최정,오재일,김현수,김선빈,장성우,노시환,,박건우,강민호,,페르난데스,박찬호
노시환,김재환,하주석,최원준,이정후,알테어,홍창기,,손아섭,박동원,,노시환,황재균
강백호,배정대,오지환,최지훈,심우준,최형우,이용규,,박성한,서건창,,장성우,최형우
마차도,한동희,구자욱,김선빈,이용규,최정,조용호,,김혜성,박병호,,김상수,터커
김재환,황재균,최정,김상수,,김재환,정은원,,하주석,최주환,,최재훈,배정대
조용호,한유섬,김재환,이정후,,배정대,,,정은원,최정,,강진성,박병호
박해민,박병호,박동원,박성한,,추신수,,,,장성우,,박건우,양석환
박건우,박동원,,심우준,,최재훈,,,,,,박동원,하주석
김선빈,박찬호,,이용규,,노시환,,,,,,이대호,정훈
손아섭,추신수,,조용호,,홍창기,,,,,,정은원,알테어
정은원,심우준,,정은원,,조용호,,,,,,이원석,
이원석,최재훈,,,,정은원,,,,,,박찬호,
한유섬,노시환,,,,,,,,,,손아섭,
,정훈,,,,,,,,,,양의지,
,홍창기,,,,,,,,,,,
,박해민,,,,,,,,,,,
,강백호,,,,,,,,,,,
,이용규,,,,,,,,,,,
,조용호,,,,,,,,,,,
,최주환,,,,,,,,,,,
,정은원,,,,,,,,,,,
