,이름,count
1,이대호,9.0
3,유희관,1.0
4,김영규,1.0
5,고우석,2.0
6,이원석,5.0
7,배제성,6.0
8,윤대경,1.0
9,이태양,2.0
10,스트레일리,7.0
11,소형준,5.0
12,김재환,8.0
13,정훈,4.0
14,양석환,8.0
15,피렐라,6.0
16,미란다,9.0
17,전준우,6.0
18,로켓,6.0
19,노진혁,4.0
20,최주환,4.0
21,박성한,3.0
22,루친스키,8.0
23,양의지,14.0
24,채은성,4.0
25,한동희,7.0
26,최정,12.0
27,송명기,3.0
28,데스파이네,10.0
29,박세웅,5.0
30,장승현,3.0
31,손아섭,3.0
32,이정후,5.0
33,나성범,7.0
34,장현식,4.0
35,이재학,3.0
36,멩덴,5.0
37,송우현,2.0
38,이용규,6.0
39,전민수,2.0
40,김선기,1.0
41,오지환,4.0
42,이인복,1.0
43,백정현,13.0
44,곽빈,3.0
45,알테어,6.0
46,서진용,1.0
47,김성현,3.0
48,이재원,3.0
49,김인태,6.0
50,강백호,7.0
51,백용환,1.0
52,김태군,1.0
53,김택형,3.0
54,터커,3.0
55,정우영,2.0
56,박정수,1.0
57,김민식,2.0
58,박병호,6.0
59,황재균,4.0
60,최원준,12.0
61,조한민,1.0
62,브룩스,1.0
63,카펜터,6.0
64,추재현,1.0
65,강진성,2.0
66,이의리,3.0
67,구자욱,3.0
68,황대인,6.0
69,로맥,6.0
70,이준영,1.0
71,류진욱,1.0
72,김호령,1.0
73,안중열,1.0
74,서준원,1.0
75,마차도,2.0
76,고영표,7.0
77,홍건희,2.0
78,박계범,3.0
79,박석민,3.0
80,이성곤,2.0
81,다카하시,2.0
82,최형우,4.0
83,박해민,3.0
84,양창섭,1.0
85,신민혁,2.0
86,한유섬,7.0
87,김동엽,1.0
88,킹엄,6.0
89,서건창,4.0
90,김지찬,2.0
91,김민수,2.0
92,정진기,2.0
93,몽고메리,2.0
94,최영환,2.0
95,원태인,11.0
96,뷰캐넌,9.0
97,유강남,5.0
98,노시환,8.0
99,김선빈,6.0
100,최채흥,3.0
101,김태연,3.0
102,김민성,3.0
103,하주석,2.0
104,수아레즈,5.0
105,알몬테,3.0
106,안치홍,5.0
107,정해영,3.0
108,이창진,3.0
109,박찬호,3.0
110,김웅빈,5.0
111,라이블리,1.0
112,강한울,1.0
113,김강민,3.0
114,박준영,2.0
115,최재훈,2.0
116,이병규,1.0
117,쿠에바스,6.0
118,최영진,1.0
119,이민호,6.0
120,장성우,5.0
121,김준태,1.0
122,정찬헌,8.0
123,박정현,3.0
124,김태진,1.0
125,심우준,4.0
126,힐리,1.0
127,김상수,1.0
128,프랑코,3.0
129,라모스,2.0
130,박동원,7.0
131,김민우,6.0
132,페레즈,1.0
133,이영빈,2.0
134,이정용,1.0
135,강민호,5.0
136,파슨스,3.0
137,가빌리오,2.0
138,원종현,1.0
139,배재준,1.0
140,켈리,8.0
141,임기영,3.0
142,배정대,6.0
143,유민상,1.0
144,추신수,6.0
145,오재일,5.0
146,최지훈,2.0
147,조용호,2.0
148,김헌곤,1.0
149,최용제,2.0
150,이상호,1.0
151,허도환,1.0
152,박종훈,1.0
153,안우진,3.0
154,이대은,1.0
155,김재호,2.0
156,임찬규,1.0
157,김태훈,3.0
158,이정훈,1.0
159,이천웅,1.0
160,최민준,2.0
161,송성문,3.0
162,이성열,1.0
163,김원중,2.0
164,김기탁,1.0
165,김민하,1.0
166,유한준,2.0
167,고종욱,3.0
168,요키시,9.0
169,김병희,1.0
170,호잉,3.0
171,오승환,1.0
172,강재민,1.0
173,오원석,2.0
174,정진호,1.0
175,김현수,5.0
176,김재유,1.0
177,폰트,3.0
178,홍창기,4.0
179,최원태,5.0
180,브리검,4.0
181,프레이타스,2.0
182,김민규,2.0
183,허정협,2.0
184,장운호,2.0
185,문보경,3.0
186,최지광,1.0
187,이지영,1.0
188,한현희,2.0
189,이주형,1.0
190,류지혁,1.0
191,문승원,1.0
192,전병우,1.0
193,김강률,2.0
194,스미스,1.0
195,변상권,1.0
196,김혜성,3.0
197,이형종,2.0
198,이승재,1.0
199,김주원,1.0
200,이현석,1.0
201,이용찬,1.0
202,나균안,1.0
203,주권,1.0
204,우규민,1.0
205,김성민,1.0
206,임준형,1.0
207,이학주,1.0
208,박세혁,2.0
209,페르난데스,6.0
210,이영하,2.0
211,허경민,2.0
212,박건우,2.0
213,정수빈,2.0
214,이현승,1.0
215,김재윤,1.0
216,정주현,1.0
217,차우찬,1.0
218,이흥련,1.0
219,오동욱,1.0
220,김명신,1.0
221,이승민,1.0
222,윤중현,1.0
223,신본기,1.0
224,보어,1.0
225,조영우,1.0
226,김기중,1.0
227,이승진,1.0
228,권희동,1.0
229,김도규,1.0
230,김찬형,1.0
